survey,HJD,mag,mag_err,flux,flux_err,camera
 KELT,2455198.651855,14.13781,0.0126,0.956119,0.011052,E
 KELT,2455198.660645,14.13589,0.01243,0.957811,0.010923,E
 KELT,2455198.668945,14.133729999999998,0.01215,0.959719,0.010698,E
 KELT,2455198.677246,14.15143,0.01268,0.9442,0.010984,E
 KELT,2455198.703125,14.120801,0.01208,0.981865,0.010882,W
 KELT,2455198.708008,14.111441000000001,0.01217,0.990366,0.011058,W
 KELT,2455198.712891,14.130601,0.01193,0.973042,0.01065,W
 KELT,2455198.717773,14.115770000000001,0.01206,0.986425,0.010914,W
 KELT,2455198.722656,14.126091,0.01227,0.977092,0.010999,W
 KELT,2455198.727539,14.112639999999999,0.012190000000000001,0.989273,0.011064,W
 KELT,2455198.732422,14.125271,0.012,0.977831,0.010765,W
 KELT,2455198.737305,14.141891000000001,0.012240000000000001,0.962976,0.010814,W
 KELT,2455198.742188,14.1413,0.0119,0.963501,0.010519,W
 KELT,2455198.74707,14.13551,0.01207,0.968652,0.010726,W
 KELT,2455198.751953,14.139220000000002,0.012,0.965348,0.010628,W
 KELT,2455198.756836,14.136631,0.01212,0.967653,0.01076,W
 KELT,2455198.759277,14.147891,0.01204,0.957669,0.010578,W
 KELT,2455198.761719,14.137770999999999,0.012209999999999999,0.966637,0.010828,W
 KELT,2455198.763672,14.13078,0.01215,0.972882,0.010845,W
 KELT,2455198.766113,14.122689999999999,0.01235,0.980158,0.011105,W
 KELT,2455198.768555,14.114920999999999,0.01235,0.987196,0.011185,W
 KELT,2455198.770508,14.108941,0.012320000000000001,0.992649,0.01122,W
 KELT,2455198.772949,14.115789999999999,0.01218,0.986407,0.011022,W
 KELT,2455198.774902,14.094391,0.01253,1.006041,0.011565,W
 KELT,2455198.777344,14.089310999999999,0.01259,1.010759,0.011675,W
 KELT,2455198.779785,14.090231,0.0125,1.009903,0.011581,W
 KELT,2455198.781738,14.096931,0.012629999999999999,1.00369,0.01163,W
 KELT,2455198.78418,14.081079999999998,0.01272,1.018451,0.011885,W
 KELT,2455198.786621,14.105941,0.01289,0.995395,0.011771,W
 KELT,2455198.788574,14.11682,0.012969999999999999,0.985471,0.011726,W
 KELT,2455198.791016,14.120991,0.01291,0.981693,0.011627,W
 KELT,2455198.792969,14.115491,0.012740000000000001,0.986678,0.011532,W
 KELT,2455198.79541,14.121610999999998,0.01281,0.981132,0.011531,W
 KELT,2455198.797852,14.134089999999999,0.01256,0.96992,0.011176,W
 KELT,2455198.799805,14.129431,0.01255,0.974091,0.011215,W
 KELT,2455198.802246,14.13955,0.0126,0.965055,0.011156,W
 KELT,2455198.804688,14.1505,0.01213,0.955371,0.010632,W
 KELT,2455198.806641,14.149460999999999,0.0123,0.956286,0.010791,W
 KELT,2455198.809082,14.137660999999998,0.012629999999999999,0.966735,0.011202,W
 KELT,2455198.811523,14.119570999999999,0.0124,0.982978,0.011182,W
 KELT,2455198.813477,14.152091,0.01252,0.953972,0.010958,W
 KELT,2455198.815918,14.151131,0.01266,0.954816,0.01109,W
 KELT,2455198.817871,14.130939999999999,0.01319,0.972738,0.011771,W
 KELT,2455198.820312,14.097641000000001,0.01294,1.003034,0.011908,W
 KELT,2455198.822754,14.119431,0.012980000000000002,0.983104,0.011707,W
 KELT,2455198.824707,14.112430999999999,0.01321,0.989463,0.011992,W
 KELT,2455198.82959,14.13168,0.013219999999999999,0.972076,0.01179,W
 KELT,2455198.831543,14.122710000000001,0.013080000000000001,0.98014,0.011762,W
 KELT,2455198.833984,14.101621,0.01319,0.999364,0.012093,W
 KELT,2455198.836426,14.112031,0.01335,0.989828,0.012123,W
 KELT,2455199.572754,14.107470000000001,0.00805,0.983214,0.007261,E
 KELT,2455199.581055,14.137929999999999,0.0077,0.956013,0.006753,E
 KELT,2455199.589844,14.13163,0.00771,0.961577,0.006802,E
 KELT,2455199.598145,14.126220000000002,0.00787,0.96638,0.006977,E
 KELT,2455199.606445,14.1203,0.00763,0.971664,0.006802,E
 KELT,2455199.614258,14.11156,0.007559999999999999,0.979517,0.006794,E
 KELT,2455199.625,14.122710000000001,0.0079,0.969509,0.007027,E
 KELT,2455199.638184,14.1241,0.008620000000000001,0.968269,0.007657,E
 KELT,2455199.648926,14.110579999999999,0.00913,0.980402,0.008212,E
 KELT,2455199.659668,14.10457,0.00971,0.985844,0.008782,E
 KELT,2455199.678711,14.11764,0.01022,0.974047,0.009133,E
 KELT,2455199.704102,14.093810999999999,0.01054,1.006578,0.009733,W
 KELT,2455199.712891,14.114631,0.01048,0.98746,0.009494,W
 KELT,2455199.721191,14.120810999999998,0.01039,0.981856,0.009359,W
 KELT,2455199.729492,14.124181,0.01045,0.978813,0.009384,W
 KELT,2455199.738281,14.112720000000001,0.0106,0.9892,0.00962,W
 KELT,2455199.746582,14.10529,0.010740000000000001,0.995992,0.009814,W
 KELT,2455199.754883,14.086829999999999,0.01111,1.013071,0.010326,W
 KELT,2455199.76123,14.108721,0.01069,0.99285,0.009737,W
 KELT,2455199.763672,14.114501,0.0107,0.987578,0.009695,W
 KELT,2455199.765625,14.114191,0.010579999999999999,0.98786,0.009589,W
 KELT,2455199.768066,14.108801000000001,0.01087,0.992777,0.0099,W
 KELT,2455199.770508,14.126531,0.0108,0.976696,0.009677,W
 KELT,2455199.772461,14.108541,0.01086,0.993015,0.009894,W
 KELT,2455199.774902,14.118770999999999,0.0109,0.983702,0.009837,W
 KELT,2455199.776855,14.101470999999998,0.01102,0.999502,0.010105,W
 KELT,2455199.779297,14.097620999999998,0.01086,1.003052,0.009994,W
 KELT,2455199.78418,14.113420000000001,0.01083,0.988562,0.009822,W
 KELT,2455199.789062,14.109570999999999,0.0108,0.992073,0.00983,W
 KELT,2455199.793945,14.104389999999999,0.011090000000000001,0.996818,0.010142,W
 KELT,2455199.798828,14.110420000000001,0.011090000000000001,0.991297,0.010086,W
 KELT,2455199.803711,14.103810000000001,0.01098,0.997351,0.010047,W
 KELT,2455199.808594,14.112110000000001,0.01132,0.989756,0.010279,W
 KELT,2455199.813477,14.098189999999999,0.01121,1.002527,0.01031,W
 KELT,2455199.818359,14.10912,0.011290000000000001,0.992485,0.01028,W
 KELT,2455199.823242,14.106781,0.011290000000000001,0.994626,0.010302,W
 KELT,2455199.828125,14.103280999999999,0.01151,0.997837,0.010537,W
 KELT,2455199.833008,14.07606,0.0116,1.02317,0.010889,W
 KELT,2455200.573242,14.077829999999999,0.007679999999999999,1.010425,0.007119,E
 KELT,2455200.581543,14.07739,0.00763,1.010834,0.007076,E
 KELT,2455200.590332,14.08335,0.00762,1.005301,0.007028,E
 KELT,2455200.598145,14.098729999999998,0.00728,0.991161,0.00662,E
 KELT,2455200.606445,14.0942,0.007390000000000001,0.995305,0.006748,E
 KELT,2455200.614746,14.09138,0.007359999999999999,0.997893,0.006738,E
 KELT,2455200.625488,14.08905,0.00722,1.000037,0.006624,E
 KELT,2455200.638184,14.08937,0.00707,0.999742,0.006485,E
 KELT,2455200.648926,14.103129999999998,0.00727,0.987152,0.006584,E
 KELT,2455200.659668,14.0991,0.00719,0.990823,0.006536,E
 KELT,2455200.67041,14.107489999999999,0.00727,0.983196,0.006558,E
 KELT,2455200.70166,14.084641,0.0092,1.015116,0.008568,W
 KELT,2455200.710449,14.08071,0.00939,1.018798,0.008777,W
 KELT,2455200.71875,14.115941000000001,0.009609999999999999,0.986269,0.008695,W
 KELT,2455200.727051,14.110991,0.00944,0.990776,0.008581,W
 KELT,2455200.73584,14.105630999999999,0.00944,0.99568,0.008623,W
 KELT,2455200.744141,14.112201,0.00948,0.989673,0.008607,W
 KELT,2455200.752441,14.11237,0.00976,0.989519,0.00886,W
 KELT,2455200.758789,14.120821,0.009590000000000001,0.981847,0.008638,W
 KELT,2455200.76123,14.114820000000002,0.009640000000000001,0.987288,0.008732,W
 KELT,2455200.763184,14.112341,0.00975,0.989545,0.008851,W
 KELT,2455200.765625,14.115379999999998,0.00983,0.986779,0.008899,W
 KELT,2455200.767578,14.116581,0.00975,0.985688,0.008817,W
 KELT,2455200.77002,14.105929999999999,0.009729999999999999,0.995405,0.008886,W
 KELT,2455200.772461,14.099791,0.00984,1.00105,0.009037,W
 KELT,2455200.774414,14.088931,0.00967,1.011113,0.00897,W
 KELT,2455200.776855,14.091479999999999,0.009770000000000001,1.008742,0.009042,W
 KELT,2455200.781738,14.106541,0.0098,0.994845,0.008944,W
 KELT,2455200.786621,14.09022,0.00987,1.009913,0.009145,W
 KELT,2455200.791504,14.1132,0.00981,0.988763,0.008899,W
 KELT,2455200.796387,14.087439999999999,0.009909999999999999,1.012502,0.009205,W
 KELT,2455200.80127,14.09341,0.00988,1.00695,0.009127,W
 KELT,2455200.806152,14.093370000000002,0.01015,1.006987,0.009377,W
 KELT,2455200.811035,14.092391000000001,0.0102,1.007896,0.009432,W
 KELT,2455200.815918,14.091101,0.010159999999999999,1.009094,0.009406,W
 KELT,2455200.820801,14.09881,0.0101,1.001954,0.009284,W
 KELT,2455200.825684,14.113791,0.01011,0.988224,0.009166,W
 KELT,2455200.830566,14.119691,0.01017,0.982869,0.00917,W
 KELT,2455201.631348,14.15143,0.00807,0.9442,0.006991,E
 KELT,2455201.642578,14.13424,0.0079,0.959268,0.006952,E
 KELT,2455201.65332,14.153310000000001,0.00815,0.942566,0.007048,E
 KELT,2455201.672852,14.150529999999998,0.007809999999999999,0.944983,0.006771,E
 KELT,2455201.699219,14.118720999999999,0.008190000000000001,0.983747,0.007392,W
