HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457824.55135,2017-03-12.0511864,be,1.41,15.913,15.699,0.180,2.014,0.331,V
2457824.55266,2017-03-12.0524943,be,1.47,15.844,>15.844,99.990,0.805,0.353,V
2457824.55398,2017-03-12.0538195,be,1.51,15.779,15.767,0.217,1.893,0.374,V
2457827.57703,2017-03-15.0771275,be,1.43,15.999,>15.999,99.990,1.284,0.306,V
2457827.57833,2017-03-15.0784306,be,1.47,16.064,>16.064,99.990,0.321,0.288,V
2457827.57964,2017-03-15.0797383,be,1.44,16.319,16.224,0.201,1.242,0.228,V
2457829.73325,2017-03-17.2335370,ba,2.02,16.881,16.266,0.124,1.195,0.136,V
2457829.73453,2017-03-17.2348180,ba,2.02,16.959,16.692,0.171,0.808,0.126,V
2457829.73581,2017-03-17.2361002,ba,1.99,16.793,16.298,0.139,1.161,0.147,V
2457834.55388,2017-03-22.0545800,be,1.46,16.423,15.948,0.141,1.602,0.207,V
2457834.55519,2017-03-22.0558936,be,1.45,16.540,15.612,0.093,2.182,0.186,V
2457834.55649,2017-03-22.0571886,be,1.40,16.471,15.856,0.124,1.744,0.198,V
2457836.54800,2017-03-24.0488690,be,1.44,16.397,15.253,0.076,3.037,0.212,V
2457836.54930,2017-03-24.0501724,be,1.41,16.306,15.534,0.107,2.347,0.231,V
2457836.55061,2017-03-24.0514795,be,1.41,16.296,15.131,0.075,3.402,0.233,V
2457837.54673,2017-03-25.0476862,be,1.41,16.369,15.095,0.068,3.515,0.218,V
2457837.54803,2017-03-25.0489901,be,1.39,16.358,15.134,0.071,3.392,0.220,V
2457837.54933,2017-03-25.0502850,be,1.38,16.462,15.260,0.072,3.019,0.200,V
2457840.51727,2017-03-28.0184894,be,1.45,16.419,15.239,0.074,3.078,0.208,V
2457840.51875,2017-03-28.0199554,be,1.44,16.409,15.331,0.081,2.830,0.210,V
2457840.52021,2017-03-28.0214181,be,1.43,16.468,15.398,0.082,2.659,0.199,V
2457844.52483,2017-04-01.0263755,be,1.44,16.279,15.039,0.070,3.700,0.237,V
2457844.52615,2017-04-01.0276942,be,1.42,16.383,15.034,0.063,3.717,0.215,V
2457844.52742,2017-04-01.0289613,be,1.40,16.217,14.988,0.071,3.881,0.250,V
2457847.51422,2017-04-04.0160140,be,1.61,99.990,99.990,99.990,99.990,99.990,V
2457847.51553,2017-04-04.0173233,be,1.54,14.369,>14.369,99.990,1.886,1.372,V
2457847.51683,2017-04-04.0186212,be,1.57,15.247,15.123,0.196,3.426,0.612,V
2457848.50938,2017-04-05.0112461,be,1.45,16.121,15.594,0.135,2.219,0.273,V
2457848.51069,2017-04-05.0125574,be,1.45,16.035,15.646,0.153,2.115,0.296,V
2457848.51200,2017-04-05.0138715,be,1.47,16.140,15.836,0.166,1.776,0.269,V
2457851.50148,2017-04-08.0035922,be,1.47,16.138,15.558,0.128,2.295,0.269,V
2457851.50275,2017-04-08.0048584,be,1.49,16.003,15.324,0.117,2.848,0.305,V
2457851.50401,2017-04-08.0061232,be,1.46,16.032,15.308,0.112,2.890,0.297,V
2457853.49591,2017-04-09.9981686,be,1.74,15.735,15.040,0.116,3.697,0.390,V
2457853.49717,2017-04-09.9994326,be,1.90,15.759,15.071,0.116,3.595,0.382,V
2457853.49843,2017-04-10.0006942,be,1.75,15.730,15.693,0.212,2.026,0.392,V
2457857.46958,2017-04-13.9721458,be,1.77,15.997,15.295,0.115,2.925,0.306,V
2457857.47089,2017-04-13.9734515,be,1.73,16.107,15.217,0.097,3.140,0.277,V
2457857.47216,2017-04-13.9747269,be,1.79,16.152,15.227,0.093,3.111,0.266,V
2457863.46489,2017-04-19.9678878,be,1.49,16.013,15.601,0.150,2.205,0.302,V
2457863.46616,2017-04-19.9691614,be,1.47,16.070,15.415,0.120,2.620,0.287,V
2457863.46742,2017-04-19.9704177,be,1.46,16.106,15.479,0.123,2.468,0.277,V
2457956.93797,2017-07-22.4420787,be,1.49,15.663,14.705,0.091,5.034,0.417,V
2457956.93923,2017-07-22.4433390,be,1.46,15.479,14.573,0.095,5.684,0.494,V
2457957.92573,2017-07-23.4297888,be,1.53,16.123,14.661,0.057,5.246,0.273,V
2457957.92699,2017-07-23.4310615,be,1.45,16.093,14.610,0.056,5.497,0.281,V
2457957.92827,2017-07-23.4323357,be,1.45,16.164,14.588,0.051,5.608,0.263,V
2457960.91895,2017-07-26.4228460,be,1.59,16.172,14.679,0.055,5.156,0.261,V
2457960.92021,2017-07-26.4241027,be,1.63,16.088,14.639,0.058,5.349,0.282,V
2457960.92156,2017-07-26.4254526,be,1.58,16.147,14.603,0.053,5.532,0.267,V
2457966.91369,2017-08-01.4172486,be,1.57,16.146,14.521,0.049,5.963,0.268,V
2457966.91495,2017-08-01.4185021,be,1.64,16.242,14.637,0.050,5.361,0.245,V
2457966.91622,2017-08-01.4197660,be,1.59,16.142,14.569,0.051,5.709,0.268,V
2457970.90300,2017-08-05.4062978,be,1.48,16.098,14.759,0.064,4.787,0.279,V
2457970.90426,2017-08-05.4075589,be,1.44,16.128,14.860,0.068,4.366,0.272,V
2457970.90553,2017-08-05.4088240,be,1.45,16.144,14.718,0.059,4.973,0.268,V
2457973.12091,2017-08-07.6240616,ba,1.87,14.028,>14.028,99.990,7.053,1.880,V
2457973.12218,2017-08-07.6253253,ba,1.63,99.990,99.990,99.990,99.990,99.990,V
2457973.12345,2017-08-07.6266026,ba,1.77,14.277,13.913,0.157,10.442,1.496,V
2457974.12050,2017-08-08.6235803,ba,1.63,15.434,14.600,0.102,5.545,0.515,V
2457974.12177,2017-08-08.6248497,ba,1.68,15.612,14.385,0.071,6.757,0.437,V
2457974.12303,2017-08-08.6261160,ba,1.68,15.454,14.498,0.091,6.092,0.506,V
2457975.91476,2017-08-10.4177166,be,1.92,99.990,99.990,99.990,99.990,99.990,V
2457975.91603,2017-08-10.4189839,be,1.83,99.990,99.990,99.990,99.990,99.990,V
2457978.12266,2017-08-12.6254625,ba,1.70,15.867,14.425,0.058,6.512,0.346,V
2457978.12393,2017-08-12.6267306,ba,1.69,15.843,14.765,0.081,4.765,0.353,V
2457978.12521,2017-08-12.6280125,ba,1.70,15.755,14.595,0.075,5.568,0.383,V
2457980.87721,2017-08-15.3798141,be,1.47,15.964,14.530,0.058,5.912,0.316,V
2457980.87847,2017-08-15.3810696,be,1.53,15.923,14.535,0.061,5.884,0.328,V
2457980.87973,2017-08-15.3823337,be,1.53,15.989,14.568,0.059,5.711,0.309,V
2457983.92092,2017-08-18.4232912,be,1.45,16.184,14.630,0.052,5.393,0.258,V
2457983.92218,2017-08-18.4245548,be,1.47,16.062,14.780,0.067,4.698,0.289,V
2457983.92344,2017-08-18.4258195,be,1.46,16.171,14.751,0.059,4.824,0.261,V
2457985.86380,2017-08-20.3660371,be,1.45,16.188,14.682,0.055,5.142,0.257,V
2457985.86506,2017-08-20.3672996,be,1.44,16.226,14.813,0.060,4.559,0.248,V
2457985.86634,2017-08-20.3685643,be,1.44,16.250,14.673,0.051,5.184,0.243,V
2457994.08107,2017-08-28.5826483,ba,1.82,16.499,14.729,0.043,4.923,0.193,V
2457994.08234,2017-08-28.5839192,ba,1.79,16.548,14.718,0.040,4.973,0.185,V
2457994.08361,2017-08-28.5851898,ba,1.74,16.498,14.721,0.042,4.964,0.194,V
2457998.83932,2017-09-02.3404978,be,1.54,15.169,14.614,0.131,5.474,0.657,V
2457998.84058,2017-09-02.3417622,be,1.56,15.662,14.627,0.084,5.411,0.418,V
2457998.84185,2017-09-02.3430362,be,1.53,15.405,14.678,0.112,5.159,0.529,V
2457999.91239,2017-09-03.4134828,be,1.92,16.062,14.652,0.060,5.283,0.289,V
2457999.91382,2017-09-03.4149170,be,1.99,15.944,14.583,0.062,5.636,0.322,V
2457999.91510,2017-09-03.4161872,be,1.75,15.896,14.671,0.071,5.195,0.337,V
2458001.85057,2017-09-05.3515056,bi,1.86,16.454,15.398,0.083,2.516,0.191,g
2458001.85178,2017-09-05.3527159,bi,1.81,16.234,15.395,0.101,2.523,0.233,g
2458001.85300,2017-09-05.3539357,bi,1.88,15.989,15.196,0.105,3.032,0.292,g
2458002.09805,2017-09-05.5989642,ba,2.02,15.854,14.631,0.071,5.389,0.350,V
2458002.09931,2017-09-05.6002274,ba,2.03,15.894,14.947,0.092,4.028,0.337,V
2458002.10059,2017-09-05.6015020,ba,2.00,15.765,14.820,0.092,4.526,0.380,V
2458002.81847,2017-09-06.3193277,bi,1.91,15.398,15.173,0.178,3.096,0.504,g
2458002.81969,2017-09-06.3205461,bi,1.95,15.071,>15.071,99.990,2.584,0.681,g
2458007.82415,2017-09-11.3245693,be,1.63,15.647,14.685,0.090,5.127,0.423,V
2458007.82541,2017-09-11.3258342,be,1.63,15.844,14.643,0.073,5.327,0.353,V
2458007.82669,2017-09-11.3271126,be,1.61,15.697,14.539,0.075,5.865,0.404,V
2458011.80939,2017-09-15.3094737,be,1.55,16.033,14.882,0.076,4.279,0.296,V
2458011.81066,2017-09-15.3107421,be,1.53,16.077,14.698,0.061,5.066,0.285,V
2458011.81193,2017-09-15.3120055,be,1.53,16.087,14.808,0.067,4.576,0.282,V
2458013.78922,2017-09-17.2891459,be,1.80,16.169,14.846,0.065,4.422,0.262,V
2458013.79049,2017-09-17.2904087,be,1.75,16.112,14.792,0.065,4.646,0.276,V
2458013.79180,2017-09-17.2917189,be,1.81,16.186,14.871,0.065,4.321,0.258,V
2458015.79870,2017-09-19.2984390,be,1.61,16.105,14.698,0.060,5.066,0.278,V
2458015.79997,2017-09-19.2997094,be,1.60,16.095,14.944,0.076,4.040,0.280,V
2458015.80125,2017-09-19.3009870,be,1.65,16.123,14.792,0.064,4.646,0.273,V
2458017.96512,2017-09-21.4646731,bq,2.15,17.133,15.327,0.041,2.686,0.102,g
2458017.96640,2017-09-21.4659540,bq,2.10,17.116,15.341,0.043,2.651,0.104,g
2458017.96765,2017-09-21.4672025,bq,2.12,17.099,15.288,0.041,2.784,0.105,g
2458018.78399,2017-09-22.2834777,be,1.41,16.025,14.830,0.073,4.486,0.299,V
2458018.78526,2017-09-22.2847444,be,1.45,16.052,14.767,0.067,4.755,0.291,V
2458018.78652,2017-09-22.2860099,be,1.42,16.113,14.692,0.059,5.096,0.276,V
2458019.85807,2017-09-23.3574634,be,1.42,16.221,14.841,0.061,4.442,0.249,V
2458019.85933,2017-09-23.3587270,be,1.42,16.235,14.816,0.059,4.542,0.246,V
2458019.86060,2017-09-23.3599924,be,1.44,16.188,14.741,0.058,4.871,0.257,V
2458019.95972,2017-09-23.4591068,bq,1.51,17.189,15.567,0.049,2.154,0.097,g
2458019.96100,2017-09-23.4603846,bq,1.54,17.194,15.559,0.048,2.168,0.096,g
2458019.96226,2017-09-23.4616503,bq,1.53,17.301,15.507,0.042,2.277,0.087,g
2458022.77606,2017-09-26.2752031,be,1.56,16.126,14.575,0.052,5.670,0.272,V
2458022.77734,2017-09-26.2764814,be,1.57,16.155,14.743,0.060,4.861,0.265,V
2458022.77860,2017-09-26.2777493,be,1.50,16.109,14.595,0.054,5.573,0.277,V
2458026.83732,2017-09-30.3361270,be,1.47,99.990,99.990,99.990,99.990,99.990,V
2458026.83858,2017-09-30.3373934,be,1.48,99.990,99.990,99.990,99.990,99.990,V
2458026.83985,2017-09-30.3386548,be,1.58,99.990,99.990,99.990,99.990,99.990,V
2458029.80601,2017-10-03.3045762,bi,2.14,16.462,15.215,0.069,2.979,0.189,g
2458029.80723,2017-10-03.3057972,bi,2.14,16.140,15.240,0.096,2.912,0.254,g
2458029.80846,2017-10-03.3070196,bi,2.13,16.026,15.181,0.101,3.074,0.283,g
2458029.98254,2017-10-03.4810891,ba,1.68,15.719,14.761,0.091,4.779,0.396,V
2458029.98381,2017-10-03.4823609,ba,1.69,15.857,14.549,0.066,5.815,0.349,V
2458029.98509,2017-10-03.4836392,ba,1.73,15.711,14.751,0.091,4.825,0.399,V
2458030.85364,2017-10-04.3521093,bi,1.66,14.291,>14.291,99.990,4.753,1.396,g
2458030.85485,2017-10-04.3533258,bi,1.79,14.532,>14.532,99.990,2.469,1.118,g
2458030.85607,2017-10-04.3545422,bi,1.72,13.874,>13.874,99.990,4.285,2.049,g
2458032.87885,2017-10-06.3771592,bi,1.90,16.512,15.313,0.073,2.721,0.181,g
2458032.88005,2017-10-06.3783711,bi,1.86,16.453,15.318,0.077,2.709,0.191,g
2458032.88127,2017-10-06.3795869,bi,1.88,16.363,15.417,0.092,2.473,0.207,g
2458034.06769,2017-10-07.5659190,ba,1.74,15.890,14.785,0.079,4.676,0.338,V
2458034.06899,2017-10-07.5672090,ba,1.77,15.881,14.672,0.072,5.188,0.341,V
2458034.07027,2017-10-07.5684851,ba,1.72,15.831,14.795,0.084,4.635,0.357,V
2458043.96147,2017-10-17.4589303,bq,1.69,17.157,15.289,0.039,2.782,0.100,g
2458043.96273,2017-10-17.4601894,bq,1.59,17.282,15.393,0.038,2.528,0.089,g
2458043.96400,2017-10-17.4614534,bq,1.62,17.149,15.237,0.038,2.918,0.101,g
2458046.04379,2017-10-19.5411012,ba,2.08,16.494,14.631,0.039,5.388,0.194,V
2458046.04507,2017-10-19.5423725,ba,2.05,16.485,14.627,0.039,5.413,0.196,V
2458052.89837,2017-10-26.3952077,bq,1.65,17.161,15.223,0.037,2.957,0.099,g
2458052.89959,2017-10-26.3964135,bq,1.61,17.097,15.212,0.038,2.987,0.105,g
2458052.90081,2017-10-26.3976333,bq,1.74,17.214,15.203,0.034,3.014,0.095,g
2458053.93020,2017-10-27.4269616,ba,1.66,16.462,14.767,0.046,4.754,0.200,V
2458053.93147,2017-10-27.4282236,ba,1.68,16.449,14.740,0.045,4.873,0.203,V
2458053.93272,2017-10-27.4294834,ba,1.66,16.423,14.663,0.043,5.233,0.208,V
2458054.88892,2017-10-28.3856175,bq,1.51,17.189,15.361,0.041,2.606,0.097,g
2458054.89013,2017-10-28.3868268,bq,1.51,17.187,15.290,0.038,2.779,0.097,g
2458054.89134,2017-10-28.3880395,bq,1.50,17.165,15.342,0.041,2.649,0.099,g
2458054.91841,2017-10-28.4151023,ba,1.62,16.232,14.647,0.051,5.309,0.247,V
2458054.91966,2017-10-28.4163575,ba,1.67,16.241,14.568,0.047,5.707,0.245,V
2458054.92092,2017-10-28.4176219,ba,1.63,16.347,14.692,0.048,5.095,0.222,V
2458055.86993,2017-10-29.3665667,bq,1.96,17.229,15.308,0.037,2.733,0.094,g
2458055.87115,2017-10-29.3677844,bq,1.93,17.224,15.232,0.035,2.931,0.094,g
2458055.87239,2017-10-29.3690244,bq,1.97,17.176,15.252,0.037,2.878,0.098,g
2458055.92580,2017-10-29.4224344,ba,1.60,16.134,14.619,0.054,5.447,0.271,V
2458055.92707,2017-10-29.4237071,ba,1.60,16.141,14.620,0.054,5.444,0.269,V
2458055.92833,2017-10-29.4249695,ba,1.65,16.161,14.570,0.051,5.700,0.264,V
2458056.85459,2017-10-30.3511692,bq,1.69,17.160,15.237,0.037,2.917,0.100,g
2458056.85580,2017-10-30.3523780,bq,1.70,17.113,15.231,0.039,2.936,0.104,g
2458056.85700,2017-10-30.3535849,bq,1.71,17.142,15.242,0.038,2.903,0.101,g
2458056.91521,2017-10-30.4117872,ba,1.67,15.949,14.588,0.062,5.605,0.321,V
2458056.91651,2017-10-30.4130824,ba,1.67,16.083,14.616,0.057,5.464,0.284,V
2458057.82428,2017-10-31.3207905,bi,2.28,17.250,15.100,0.030,3.313,0.092,g
2458057.82551,2017-10-31.3220229,bi,2.25,17.316,15.211,0.031,2.991,0.087,g
2458057.82672,2017-10-31.3232369,bi,2.27,17.313,15.196,0.031,3.031,0.087,g
2458058.82686,2017-11-01.3233210,bq,1.70,16.100,15.334,0.108,2.669,0.264,g
2458058.82809,2017-11-01.3245537,bq,1.71,16.076,15.292,0.106,2.775,0.270,g
2458058.82932,2017-11-01.3257723,bq,1.75,16.084,15.354,0.112,2.621,0.268,g
2458059.84120,2017-11-02.3375995,bq,1.71,16.404,15.343,0.082,2.647,0.199,g
2458059.84241,2017-11-02.3388061,bq,1.74,16.345,15.517,0.102,2.256,0.211,g
2458059.84362,2017-11-02.3400197,bq,1.75,16.418,15.442,0.089,2.416,0.197,g
2458059.94663,2017-11-02.4430144,ba,2.03,15.685,14.620,0.082,5.444,0.409,V
2458059.94788,2017-11-02.4442678,ba,2.03,15.673,14.797,0.098,4.625,0.413,V
2458059.94914,2017-11-02.4455322,ba,2.02,15.657,14.691,0.090,5.101,0.419,V
2458060.97375,2017-11-03.4700824,ba,2.20,15.520,14.669,0.100,5.205,0.476,V
2458060.97505,2017-11-03.4713763,ba,2.13,15.619,14.749,0.098,4.833,0.434,V
2458060.97630,2017-11-03.4726283,ba,2.14,15.568,14.488,0.081,6.145,0.456,V
2458062.95793,2017-11-05.4541472,ba,2.17,15.452,15.012,0.146,3.795,0.506,V
2458062.95926,2017-11-05.4554710,ba,2.23,15.543,14.567,0.089,5.715,0.466,V
2458062.96051,2017-11-05.4567247,ba,2.19,15.500,14.540,0.091,5.859,0.485,V
2458066.03759,2017-11-08.5336453,ba,2.01,16.044,14.713,0.064,4.996,0.294,V
2458066.03885,2017-11-08.5349048,ba,1.99,16.106,14.665,0.058,5.220,0.277,V
2458067.02192,2017-11-09.5179201,ba,1.75,16.092,14.670,0.059,5.198,0.281,V
2458067.02318,2017-11-09.5191829,ba,1.81,16.376,14.881,0.055,4.281,0.217,V
2458067.02445,2017-11-09.5204495,ba,1.75,16.277,14.727,0.052,4.934,0.237,V
2458068.04416,2017-11-10.5401211,ba,2.02,16.397,14.701,0.046,5.056,0.213,V
2458068.04543,2017-11-10.5413775,ba,2.02,16.417,14.770,0.048,4.743,0.208,V
2458068.04669,2017-11-10.5426427,ba,2.03,16.318,14.608,0.045,5.501,0.229,V
2458068.88332,2017-11-11.3792357,bq,1.53,17.060,15.366,0.046,2.593,0.109,g
2458068.88454,2017-11-11.3804425,bq,1.53,17.101,15.428,0.047,2.448,0.105,g
2458068.88574,2017-11-11.3816577,bq,1.67,16.985,15.323,0.047,2.697,0.117,g
2458069.95122,2017-11-12.4470820,bq,1.55,17.239,15.858,0.061,1.648,0.092,g
2458069.95244,2017-11-12.4482957,bq,1.53,17.160,15.872,0.067,1.627,0.099,g
2458069.95367,2017-11-12.4495275,bq,1.53,17.196,16.021,0.074,1.417,0.096,g
2458070.09016,2017-11-12.5860222,ba,1.63,16.485,15.465,0.086,2.500,0.196,V
2458070.09143,2017-11-12.5872792,ba,1.63,16.623,15.370,0.069,2.729,0.172,V
2458070.09269,2017-11-12.5885449,ba,1.65,16.546,15.182,0.062,3.243,0.185,V
2458071.08161,2017-11-13.5774094,ba,1.66,16.589,15.033,0.052,3.721,0.178,V
2458071.08286,2017-11-13.5786672,ba,1.62,16.581,15.072,0.054,3.589,0.179,V
2458071.08412,2017-11-13.5799211,ba,1.62,16.611,15.090,0.054,3.532,0.174,V
2458072.03982,2017-11-14.5355903,ba,1.64,16.600,14.658,0.036,5.259,0.177,V
2458072.04109,2017-11-14.5368503,ba,1.60,16.625,14.731,0.038,4.916,0.172,V
2458072.04234,2017-11-14.5381032,ba,1.61,16.582,14.579,0.034,5.654,0.180,V
2458076.77283,2017-11-19.2684015,bi,1.53,17.349,15.539,0.041,2.210,0.084,g
2458076.77404,2017-11-19.2696129,bi,1.45,17.353,15.595,0.043,2.100,0.083,g
2458076.77526,2017-11-19.2708277,bi,1.46,17.346,15.669,0.047,1.960,0.084,g
2458077.78480,2017-11-20.2803299,bi,1.74,17.282,15.394,0.038,2.526,0.089,g
2458077.78602,2017-11-20.2815442,bi,1.83,17.265,15.452,0.041,2.395,0.091,g
2458077.78723,2017-11-20.2827630,bi,1.79,17.299,15.443,0.040,2.415,0.088,g
2458078.07401,2017-11-20.5695271,ba,1.79,16.488,14.806,0.046,4.586,0.196,V
2458078.07528,2017-11-20.5707931,ba,1.71,16.581,14.728,0.040,4.926,0.180,V
2458078.07654,2017-11-20.5720569,ba,1.76,16.560,14.720,0.040,4.968,0.183,V
2458079.73192,2017-11-22.2273853,be,1.50,16.149,14.572,0.051,5.692,0.267,V
2458079.73319,2017-11-22.2286534,be,1.49,16.257,14.591,0.047,5.590,0.241,V
2458079.73445,2017-11-22.2299158,be,1.50,16.099,14.512,0.051,6.011,0.279,V
2458079.74923,2017-11-22.2446976,bi,2.06,17.299,15.238,0.033,2.916,0.088,g
2458079.75045,2017-11-22.2459152,bi,2.03,17.277,15.168,0.031,3.112,0.090,g
2458079.75167,2017-11-22.2471282,bi,1.87,17.239,15.193,0.033,3.041,0.093,g
2458080.77976,2017-11-23.2751804,bi,1.49,17.402,15.673,0.044,1.954,0.080,g
2458080.86518,2017-11-23.3606070,bq,1.51,17.263,15.775,0.055,1.779,0.090,g
2458080.86639,2017-11-23.3618137,bq,1.56,17.271,15.705,0.052,1.898,0.090,g
2458080.86760,2017-11-23.3630290,bq,1.56,17.189,15.646,0.053,2.003,0.097,g
2458081.77646,2017-11-24.2718553,bi,2.15,17.330,15.547,0.042,2.193,0.085,g
2458081.77768,2017-11-24.2730768,bi,2.09,17.314,15.512,0.042,2.265,0.087,g
2458081.77890,2017-11-24.2742973,bi,2.14,17.418,15.626,0.042,2.039,0.079,g
2458081.83871,2017-11-24.3341083,bq,1.51,17.214,15.603,0.050,2.083,0.095,g
2458081.83993,2017-11-24.3353225,bq,1.53,17.294,15.657,0.048,1.983,0.088,g
2458081.84115,2017-11-24.3365434,bq,1.49,17.243,15.679,0.052,1.942,0.092,g
2458082.77346,2017-11-25.2688254,bi,2.08,17.322,15.436,0.038,2.431,0.086,g
2458082.77467,2017-11-25.2700356,bi,2.10,17.409,15.535,0.039,2.219,0.079,g
2458082.77589,2017-11-25.2712533,bi,2.06,17.319,15.465,0.040,2.366,0.086,g
2458083.77419,2017-11-26.2695298,bi,1.85,17.429,15.555,0.039,2.177,0.078,g
2458083.77542,2017-11-26.2707521,bi,1.81,17.411,15.590,0.041,2.108,0.079,g
2458083.77663,2017-11-26.2719732,bi,1.85,17.381,15.508,0.039,2.273,0.081,g
2458083.79561,2017-11-26.2909444,bq,1.69,17.176,15.535,0.048,2.218,0.098,g
2458083.79683,2017-11-26.2921619,bq,1.67,17.185,15.587,0.050,2.113,0.097,g
2458083.79803,2017-11-26.2933718,bq,1.75,17.240,15.562,0.047,2.164,0.092,g
2458084.59384,2017-11-27.0891542,be,1.43,15.949,14.606,0.064,5.514,0.321,V
2458084.59510,2017-11-27.0904126,be,1.46,15.889,15.002,0.097,3.830,0.339,V
2458084.59636,2017-11-27.0916754,be,1.44,16.023,14.722,0.066,4.956,0.299,V
2458084.76307,2017-11-27.2583817,bi,1.58,17.422,15.488,0.037,2.316,0.078,g
2458084.76429,2017-11-27.2595959,bi,1.55,17.372,15.412,0.036,2.484,0.082,g
2458084.76550,2017-11-27.2608159,bi,1.60,17.313,15.381,0.037,2.556,0.087,g
2458084.77808,2017-11-27.2733945,bq,1.57,17.053,15.378,0.047,2.565,0.110,g
2458084.77930,2017-11-27.2746070,bq,1.60,17.108,15.422,0.046,2.463,0.104,g
2458084.78050,2017-11-27.2758184,bq,1.65,17.118,15.426,0.046,2.452,0.103,g
2458085.74930,2017-11-28.2445819,bq,1.52,16.803,15.491,0.065,2.311,0.138,g
2458085.75052,2017-11-28.2458030,bq,1.49,16.857,15.706,0.076,1.895,0.131,g
2458085.75173,2017-11-28.2470202,bq,1.54,16.804,15.632,0.074,2.030,0.138,g
2458085.77656,2017-11-28.2718410,bi,1.42,17.434,15.573,0.039,2.141,0.077,g
2458085.77778,2017-11-28.2730559,bi,1.49,17.354,15.620,0.044,2.052,0.083,g
2458085.77899,2017-11-28.2742745,bi,1.43,17.405,15.549,0.040,2.190,0.080,g
2458085.84191,2017-11-28.3371905,be,1.43,16.155,14.715,0.058,4.984,0.265,V
2458085.84318,2017-11-28.3384640,be,1.38,16.284,14.849,0.058,4.412,0.235,V
2458085.84445,2017-11-28.3397283,be,1.40,16.135,14.785,0.063,4.676,0.270,V
2458086.62580,2017-11-29.1210582,be,1.44,15.876,14.885,0.088,4.263,0.343,V
2458086.62708,2017-11-29.1223427,be,1.54,15.882,14.895,0.088,4.223,0.341,V
2458086.62835,2017-11-29.1236130,be,1.50,15.878,14.877,0.087,4.296,0.342,V
2458086.66157,2017-11-29.1568364,bi,1.56,16.897,15.612,0.067,2.066,0.127,g
2458086.66280,2017-11-29.1580600,bi,1.52,16.924,15.632,0.067,2.030,0.124,g
2458086.66402,2017-11-29.1592776,bi,1.57,16.916,15.629,0.067,2.034,0.125,g
2458087.67091,2017-11-30.1661479,bi,1.43,16.815,15.614,0.072,2.063,0.137,g
2458087.67212,2017-11-30.1673652,bi,1.46,16.795,15.514,0.067,2.262,0.139,g
2458087.67335,2017-11-30.1685861,bi,1.47,16.767,15.631,0.077,2.030,0.143,g
2458087.81329,2017-11-30.3085251,be,1.42,16.196,15.013,0.074,3.789,0.255,V
2458087.81456,2017-11-30.3097888,be,1.47,16.193,14.942,0.069,4.047,0.256,V
2458087.81582,2017-11-30.3110548,be,1.41,16.185,15.017,0.075,3.775,0.258,V
2458088.60880,2017-12-01.1040127,bi,1.46,16.410,15.823,0.128,1.701,0.198,g
2458088.61001,2017-12-01.1052260,bi,1.48,16.339,15.779,0.131,1.771,0.212,g
2458088.61122,2017-12-01.1064418,bi,1.46,16.414,16.014,0.152,1.426,0.197,g
2458088.71502,2017-12-01.2102357,be,1.49,15.787,14.834,0.091,4.471,0.372,V
2458088.71630,2017-12-01.2115133,be,1.56,15.620,15.181,0.146,3.249,0.434,V
2458088.71757,2017-12-01.2127880,be,1.49,15.849,15.073,0.107,3.587,0.351,V
2458089.43120,2017-12-01.9264035,bm,1.82,15.978,>15.978,99.990,1.259,0.295,g
2458089.43242,2017-12-01.9276202,bm,1.71,16.081,15.828,0.174,1.693,0.268,g
2458089.43362,2017-12-01.9288252,bm,1.82,16.125,>16.125,99.990,1.238,0.258,g
2458089.65047,2017-12-02.1456686,bi,1.84,15.648,>15.648,99.990,1.970,0.400,g
2458089.65169,2017-12-02.1468895,bi,1.60,16.168,15.925,0.175,1.549,0.248,g
2458089.65291,2017-12-02.1481047,bi,1.92,15.431,>15.431,99.990,1.855,0.488,g
2458090.46249,2017-12-02.9576680,bm,1.68,16.131,15.568,0.131,2.152,0.256,g
2458090.46369,2017-12-02.9588685,bm,1.66,16.217,15.645,0.130,2.003,0.237,g
2458090.46489,2017-12-02.9600744,bm,1.66,16.158,15.599,0.131,2.093,0.250,g
2458090.68382,2017-12-03.1790065,bi,1.93,16.104,15.622,0.141,2.047,0.263,g
2458090.68504,2017-12-03.1802206,bi,1.86,16.054,15.872,0.185,1.627,0.275,g
2458090.68627,2017-12-03.1814488,bi,1.85,16.002,15.484,0.136,2.324,0.289,g
2458094.74886,2017-12-07.2439753,be,1.44,15.751,14.733,0.086,4.903,0.385,V
2458094.75012,2017-12-07.2452396,be,1.41,15.813,14.742,0.082,4.865,0.363,V
2458094.75138,2017-12-07.2465042,be,1.41,15.974,14.862,0.079,4.355,0.313,V
2458096.75004,2017-12-09.2451347,be,1.37,16.036,14.592,0.058,5.584,0.296,V
2458096.75130,2017-12-09.2463964,be,1.42,16.038,14.669,0.062,5.204,0.295,V
2458096.75257,2017-12-09.2476619,be,1.39,16.069,14.696,0.062,5.076,0.287,V
2458099.84555,2017-12-12.3406278,ba,2.28,16.385,14.631,0.043,5.389,0.215,V
2458099.84682,2017-12-12.3418990,ba,2.24,16.380,14.627,0.043,5.406,0.216,V
2458099.84810,2017-12-12.3431753,ba,2.26,16.321,14.708,0.049,5.021,0.228,V
2458100.49406,2017-12-12.9891303,bm,1.51,17.209,15.331,0.039,2.678,0.095,g
