HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457268.81942,2015-09-03.3205622,bh,1.35,15.959,15.167,0.106,3.291,0.317,V
2457268.82037,2015-09-03.3215113,bh,1.30,16.017,15.052,0.090,3.654,0.301,V
2457268.82133,2015-09-03.3224641,bh,1.38,15.877,15.080,0.105,3.564,0.342,V
2457269.81975,2015-09-04.3208097,be,1.49,15.804,15.055,0.110,3.644,0.366,V
2457269.82070,2015-09-04.3217592,be,1.48,15.884,14.771,0.079,4.738,0.340,V
2457269.82168,2015-09-04.3227400,be,1.54,15.834,14.856,0.089,4.378,0.356,V
2457273.89994,2015-09-08.4006517,bh,1.34,16.869,15.233,0.048,3.094,0.137,V
2457273.90123,2015-09-08.4019377,bh,1.36,16.854,15.255,0.050,3.034,0.139,V
2457273.90253,2015-09-08.4032401,bh,1.39,16.917,15.270,0.048,2.991,0.131,V
2457276.87916,2015-09-11.3796167,be,1.69,16.443,15.172,0.068,3.275,0.203,V
2457276.88010,2015-09-11.3805612,be,1.71,16.442,15.136,0.066,3.385,0.204,V
2457276.88108,2015-09-11.3815366,be,1.69,16.416,15.115,0.066,3.451,0.208,V
2457277.08628,2015-09-11.5867200,ba,1.61,16.675,15.176,0.055,3.262,0.164,V
2457277.08753,2015-09-11.5879737,ba,1.57,16.764,15.159,0.050,3.314,0.151,V
2457277.08878,2015-09-11.5892229,ba,1.60,16.710,15.234,0.056,3.093,0.159,V
2457278.88869,2015-09-13.3889777,be,1.39,16.378,15.111,0.068,3.464,0.216,V
2457282.79282,2015-09-17.2927741,be,2.00,16.072,14.917,0.075,4.143,0.286,V
2457282.79375,2015-09-17.2937055,be,2.00,16.132,14.944,0.073,4.041,0.271,V
2457282.79470,2015-09-17.2946547,be,1.92,16.168,14.881,0.067,4.280,0.262,V
2457287.88968,2015-09-22.3891964,be,1.44,16.320,14.859,0.057,4.366,0.228,V
2457287.89061,2015-09-22.3901319,be,1.43,16.321,14.786,0.053,4.673,0.228,V
2457287.89153,2015-09-22.3910491,be,1.45,16.293,14.948,0.063,4.025,0.233,V
2457288.79167,2015-09-23.2911060,be,1.45,16.685,15.164,0.054,3.300,0.163,V
2457288.79294,2015-09-23.2923796,be,1.48,16.574,15.040,0.053,3.695,0.180,V
2457288.79422,2015-09-23.2936571,be,1.42,16.641,15.317,0.065,2.865,0.169,V
2457291.83492,2015-09-26.3341046,be,1.44,16.241,15.040,0.072,3.697,0.245,V
2457291.83620,2015-09-26.3353803,be,1.48,16.214,15.165,0.083,3.296,0.251,V
2457291.83748,2015-09-26.3366584,be,1.45,16.154,15.026,0.077,3.747,0.265,V
2457292.80946,2015-09-27.3085623,be,1.63,15.963,15.531,0.147,2.352,0.316,V
2457292.81074,2015-09-27.3098439,be,1.63,15.954,15.105,0.100,3.484,0.319,V
2457292.81202,2015-09-27.3111223,be,1.64,16.009,15.468,0.133,2.491,0.303,V
2457295.81669,2015-09-30.3155327,be,1.48,16.020,15.474,0.133,2.480,0.300,V
2457295.81798,2015-09-30.3168237,be,1.45,15.835,15.295,0.133,2.923,0.356,V
2457302.79114,2015-10-07.2894158,be,1.68,16.658,15.072,0.051,3.592,0.167,V
2457302.79249,2015-10-07.2907672,be,1.67,16.555,15.121,0.058,3.434,0.183,V
2457302.79385,2015-10-07.2921247,be,1.68,16.575,15.161,0.059,3.306,0.180,V
2457306.79734,2015-10-11.2952973,be,1.45,16.698,15.206,0.055,3.173,0.161,V
2457306.79863,2015-10-11.2965854,be,1.45,16.607,15.286,0.065,2.949,0.175,V
2457306.79990,2015-10-11.2978615,be,1.38,16.621,15.233,0.061,3.093,0.173,V
2457312.71368,2015-10-17.2111875,be,1.48,16.651,14.937,0.045,4.066,0.168,V
2457312.71497,2015-10-17.2124784,be,1.47,16.510,15.031,0.056,3.728,0.191,V
2457312.71625,2015-10-17.2137515,be,1.49,16.689,15.077,0.049,3.575,0.162,V
2457315.73140,2015-10-20.2286848,be,1.62,16.572,14.927,0.048,4.101,0.181,V
2457315.73268,2015-10-20.2299699,be,1.65,16.592,15.023,0.052,3.755,0.177,V
2457315.73413,2015-10-20.2314202,be,1.65,16.430,15.018,0.060,3.773,0.206,V
2457317.71242,2015-10-22.2095695,be,1.45,16.164,15.358,0.104,2.758,0.263,V
2457317.71336,2015-10-22.2105103,be,1.44,16.138,15.296,0.101,2.920,0.269,V
2457317.71430,2015-10-22.2114480,be,1.50,16.001,15.030,0.089,3.732,0.305,V
2457318.93178,2015-10-23.4288381,ba,1.66,16.269,15.191,0.081,3.220,0.239,V
2457318.93302,2015-10-23.4300774,ba,1.69,16.047,15.096,0.091,3.514,0.293,V
2457318.93427,2015-10-23.4313369,ba,1.66,16.109,15.191,0.094,3.217,0.276,V
2457321.04455,2015-10-25.5414670,ba,1.67,16.102,15.226,0.098,3.117,0.278,V
2457321.04581,2015-10-25.5427321,ba,1.62,16.132,15.140,0.088,3.370,0.271,V
2457321.04706,2015-10-25.5439802,ba,1.69,16.219,15.281,0.092,2.961,0.250,V
2457321.92305,2015-10-26.4199141,ba,1.67,15.624,14.892,0.112,4.238,0.432,V
2457321.92431,2015-10-26.4211668,ba,1.68,15.715,15.479,0.176,2.468,0.397,V
2457321.92556,2015-10-26.4224209,ba,1.70,15.776,15.171,0.126,3.277,0.376,V
2457323.97543,2015-10-28.4721535,ba,1.76,15.675,15.064,0.125,3.615,0.412,V
2457323.97669,2015-10-28.4734089,ba,1.73,15.603,15.194,0.150,3.209,0.440,V
2457323.97792,2015-10-28.4746487,ba,1.74,15.570,15.312,0.173,2.878,0.454,V
2457327.84263,2015-11-01.3391096,be,1.47,16.201,15.646,0.131,2.116,0.254,V
2457328.82069,2015-11-02.3171093,be,1.63,15.454,>15.454,99.990,1.990,0.505,V
2457328.82198,2015-11-02.3184052,be,1.51,15.788,15.173,0.124,3.271,0.372,V
2457328.82327,2015-11-02.3196903,be,1.47,16.080,15.276,0.104,2.975,0.284,V
2457329.80167,2015-11-03.2980390,be,1.55,16.475,15.477,0.087,2.474,0.197,V
2457329.80296,2015-11-03.2993297,be,1.60,16.496,15.276,0.071,2.976,0.194,V
2457329.80425,2015-11-03.3006172,be,1.55,16.354,15.360,0.088,2.752,0.221,V
2457332.81419,2015-11-06.3103843,be,1.45,16.626,15.283,0.063,2.955,0.172,V
2457332.81548,2015-11-06.3116744,be,1.45,16.585,15.360,0.071,2.754,0.178,V
2457332.81677,2015-11-06.3129611,be,1.45,16.646,15.352,0.066,2.774,0.169,V
2457335.77860,2015-11-09.2746320,be,1.58,16.026,>16.026,99.990,0.993,0.298,V
2457335.77987,2015-11-09.2759128,be,1.56,16.138,>16.138,99.990,0.796,0.269,V
2457335.78116,2015-11-09.2771947,be,1.48,15.614,>15.614,99.990,1.167,0.436,V
2457336.83694,2015-11-10.3329267,be,1.43,16.748,15.855,0.096,1.746,0.153,V
2457336.83824,2015-11-10.3342267,be,1.46,16.716,15.825,0.096,1.793,0.158,V
2457336.83955,2015-11-10.3355318,be,1.46,16.673,15.698,0.089,2.018,0.164,V
2457341.83636,2015-11-15.3321128,be,1.43,16.734,15.556,0.074,2.299,0.155,V
2457341.83765,2015-11-15.3333968,be,1.43,16.664,15.688,0.089,2.035,0.166,V
2457341.83894,2015-11-15.3346849,be,1.44,16.773,15.604,0.075,2.199,0.150,V
2457346.72325,2015-11-20.2188050,be,1.46,16.585,15.369,0.071,2.732,0.178,V
2457346.72454,2015-11-20.2200886,be,1.40,16.609,15.344,0.068,2.795,0.174,V
2457346.72583,2015-11-20.2213795,be,1.42,16.676,15.351,0.065,2.777,0.164,V
2457348.71252,2015-11-22.2079967,be,1.63,16.318,15.490,0.102,2.442,0.228,V
2457348.71379,2015-11-22.2092745,be,1.61,16.306,15.442,0.099,2.555,0.230,V
2457348.71508,2015-11-22.2105611,be,1.59,16.415,15.561,0.100,2.287,0.209,V
2457350.71013,2015-11-24.2055424,be,1.50,15.872,15.413,0.144,2.623,0.344,V
2457350.71142,2015-11-24.2068302,be,1.46,16.037,15.239,0.105,3.079,0.295,V
2457350.71271,2015-11-24.2081253,be,1.50,16.093,15.138,0.091,3.377,0.281,V
2457355.81264,2015-11-29.3079149,be,1.44,16.025,15.516,0.137,2.385,0.298,V
2457355.81392,2015-11-29.3091935,be,1.47,16.014,15.057,0.091,3.641,0.302,V
2457355.81521,2015-11-29.3104819,be,1.43,15.996,15.444,0.132,2.548,0.307,V
2457356.63165,2015-11-30.1268997,be,1.40,16.546,15.508,0.084,2.404,0.185,V
