MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,GAIA_ID
b'Gaia DR2 2278965314331603456',22 12 40.9042,+73 19 21.692,14,14,0.049,0.049,90,A,O,b'2018yCat.1345....0G',2278965314331603456
b'V* GY Ori',05 30 13.1309,+12 08 45.762,14,14,0.032,0.026,90,A,O,b'2018yCat.1345....0G',3340892714091577856
b'[BNM2013] 54.04    72',05 35 07.4210,+09 58 22.430,14,14,0.078,0.071,90,A,O,b'2018yCat.1345....0G',3337993405008742272
b'2MASS J05351606+0953374',05 35 16.0659,+09 53 37.488,14,14,0.060,0.054,90,A,O,b'2018yCat.1345....0G',3337990518790730624
b'V* VZ Ori',05 33 45.2606,-05 30 49.756,14,14,0.031,0.032,90,A,O,b'2018yCat.1345....0G',3209416098642552576
b'[DM99]  84',05 27 37.2478,+11 25 49.809,14,14,0.052,0.041,90,A,O,b'2018yCat.1345....0G',3339340031874161280
b'Gaia DR2 6048786581094159360',16 18 49.2830,-25 25 58.255,14,14,0.050,0.025,90,A,O,b'2018yCat.1345....0G',6048786581094159360
b'2MASS J04094207+2128000',04 09 42.0627,+21 28 00.205,14,14,0.057,0.029,90,A,O,b'2018yCat.1345....0G',52265117724824192
b'Gaia DR2 6126468658150340864',12 08 15.6963,-50 46 36.818,14,14,0.046,0.042,90,A,O,b'2018yCat.1345....0G',6126468658150340864
b'Gaia DR2 3182903785217522560',05 09 06.7779,-08 43 48.840,14,14,0.054,0.052,90,A,O,b'2018yCat.1345....0G',3182903785217522560
b'Gaia DR2 5841638968385624960',12 30 49.7984,-73 04 44.143,14,14,0.048,0.043,90,A,O,b'2018yCat.1345....0G',5841638968385624960
b'2MASS J15571051-2128526',15 57 10.5256,-21 28 52.886,14,14,0.110,0.060,90,A,O,b'2018yCat.1345....0G',6246546048137356032
b'Gaia DR2 5543407125233020672',08 27 50.9328,-35 06 57.580,14,14,0.020,0.024,90,A,O,b'2018yCat.1345....0G',5543407125233020672
